sequence_1,sequence_2,morphological_distance,phylogenetic_distance
Balaenoptera_acutorostrata_XP_007185686.2_CMRF35-like_molecule_1_isoform_X1|IPR003599|IG_3c|48-149,Balaenoptera_acutorostrata_XP_028023163.2_CMRF35-like_molecule_8|IPR003599|IG_3c|28-127,22.340682124184152,1.41942556415
Balaenoptera_acutorostrata_XP_007185686.2_CMRF35-like_molecule_1_isoform_X1|IPR003599|IG_3c|48-149,Balaenoptera_musculus_XP_036693288.1_CMRF35-like_molecule_8|IPR003599|IG_3c|28-127,22.340152321653363,1.4194255641649698
Balaenoptera_acutorostrata_XP_007185686.2_CMRF35-like_molecule_1_isoform_X1|IPR003599|IG_3c|48-149,Balaenoptera_musculus_XP_036694099.1_CMRF35-like_molecule_1_isoform_X1|IPR003599|IG_3c|21-120,6.8842894334466544,0.17163714092
Balaenoptera_acutorostrata_XP_007185686.2_CMRF35-like_molecule_1_isoform_X1|IPR003599|IG_3c|48-149,Balaenoptera_physalus_KAB0400670.1_hypothetical_protein_E2I00_008295|IPR003599|IG_3c|52-151,6.866663586254064,0.17163714092680998
Balaenoptera_acutorostrata_XP_007185686.2_CMRF35-like_molecule_1_isoform_X1|IPR003599|IG_3c|48-149,Balaenoptera_ricei_XP_059763189.1_CMRF35-like_molecule_1_isoform_X1|IPR003599|IG_3c|21-120,6.866663073302482,0.17163714092680998
Balaenoptera_acutorostrata_XP_007185686.2_CMRF35-like_molecule_1_isoform_X1|IPR003599|IG_3c|48-149,Balaenoptera_ricei_XP_059763706.1_CMRF35-like_molecule_8|IPR003599|IG_3c|28-127,22.420309042362376,1.4194255641649698
Balaenoptera_acutorostrata_XP_007185686.2_CMRF35-like_molecule_1_isoform_X1|IPR003599|IG_3c|48-149,Bos_javanicus_XP_061245876.1_CMRF35-like_molecule_6|IPR003599|IG_3c|31-132,21.210421307720832,1.41942556416
Balaenoptera_acutorostrata_XP_007185686.2_CMRF35-like_molecule_1_isoform_X1|IPR003599|IG_3c|48-149,Bos_javanicus_XP_061248887.1_CMRF35-like_molecule_1_isoform_X1|IPR003599|IG_3c|22-123,6.012764810128183,0.6530688626861
Balaenoptera_acutorostrata_XP_007185686.2_CMRF35-like_molecule_1_isoform_X1|IPR003599|IG_3c|48-149,Bos_javanicus_XP_061248896.1_CMRF35-like_molecule_2|IPR003599|IG_3c|21-126,23.972433295511973,1.302897910683599
Balaenoptera_acutorostrata_XP_007185686.2_CMRF35-like_molecule_1_isoform_X1|IPR003599|IG_3c|48-149,Bos_javanicus_XP_061248898.1_CMRF35-like_molecule_5|IPR003599|IG_3c|26-127,6.832039498293343,0.6530688626861
